epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,85.301,0.75903,1.26589,1.60937,1.1041,0,0.47603,0.56667,0.47589,0.35392,0.47603,0.56667,0.46785,0.31114,1.03793,2.44674,2.28077,1.34087,0,0.000297081,0.000297081,0.000297081
39,87.7029,0.75403,1.18677,1.52561,1.09276,0,0.40803,0.51413,0.45619,0.34603,0.40803,0.51413,0.44779,0.29898,1.01302,2.47107,2.23414,1.32474,0,0.000275084,0.000275084,0.000275084
40,89.5854,0.73723,1.18261,1.38905,1.05644,0,0.3627,0.58087,0.477,0.37305,0.3627,0.58087,0.46721,0.31969,0.9949,2.50051,2.1736,1.30207,0,0.000253086,0.000253086,0.000253086
41,111.156,0.87071,1.27349,1.70527,1.24392,0,0.60234,0.35889,0.49586,0.3801,0.60234,0.35889,0.48476,0.32542,0.98961,2.50659,2.12971,1.27174,0,0.000231088,0.000231088,0.000231088
42,112.895,0.76332,1.18321,1.56724,1.12718,0,0.56889,0.39162,0.49577,0.37573,0.56889,0.39162,0.48311,0.31837,1.01041,2.51858,2.11646,1.27682,0,0.00020909,0.00020909,0.00020909
43,114.81,0.73046,1.05835,1.49749,1.12223,0,0.68707,0.36893,0.50268,0.37619,0.68707,0.36893,0.48268,0.33593,1.07143,2.4636,2.11526,1.30767,0,0.000187092,0.000187092,0.000187092
44,116.608,0.72121,1.0572,1.56475,1.09018,0,0.49968,0.43458,0.50322,0.3762,0.49968,0.43458,0.48308,0.33081,1.10139,2.40654,2.15353,1.3258,0,0.000165095,0.000165095,0.000165095
45,118.517,0.70693,1.1195,1.50245,1.12359,0,0.74904,0.34572,0.49274,0.36204,0.74904,0.34572,0.47754,0.32544,1.13938,2.34545,2.25231,1.35458,0,0.000143097,0.000143097,0.000143097
46,120.262,0.73618,1.13049,1.51006,1.1245,0,0.75491,0.34733,0.49151,0.35963,0.75491,0.34733,0.48086,0.33938,1.14783,2.3172,2.27607,1.35553,0,0.000121099,0.000121099,0.000121099
47,122.043,0.67437,1.10985,1.45022,1.04585,0,0.78503,0.36667,0.50278,0.36832,0.78503,0.36667,0.49156,0.33555,1.13294,2.31498,2.31103,1.34293,0,9.91012e-05,9.91012e-05,9.91012e-05
48,123.865,0.67114,0.99727,1.39168,1.09897,0,0.75305,0.37609,0.51749,0.39138,0.75305,0.37609,0.50954,0.34065,1.11648,2.32077,2.25813,1.34863,0,7.71034e-05,7.71034e-05,7.71034e-05
49,125.637,0.67917,1.17639,1.80661,1.13737,0,0.72147,0.38333,0.51335,0.38899,0.72147,0.38333,0.50632,0.33883,1.09411,2.31043,2.24769,1.34507,0,5.51056e-05,5.51056e-05,5.51056e-05
50,127.488,0.68817,1.05481,1.39446,1.11783,0,0.72917,0.38333,0.51459,0.38786,0.72917,0.38333,0.50655,0.33458,1.06419,2.31049,2.21957,1.34176,0,3.31078e-05,3.31078e-05,3.31078e-05
