epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,2405.13,1.32616,2.7869,1.72785,1.46162,0,0.39772,0.30819,0.29233,0.16332,0.376,0.30224,0.28007,0.13181,1.79116,3.41218,2.2784,1.93441,0,0.000430973,0.000430973,0.000430973
41,2464.64,1.31714,2.76272,1.70384,1.46093,0,0.40749,0.3242,0.3085,0.17275,0.4121,0.32759,0.29966,0.14191,1.77336,3.36883,2.27112,1.95081,0,0.000420665,0.000420665,0.000420665
42,2524.55,1.30114,2.74001,1.66823,1.44611,0,0.41864,0.29147,0.31138,0.18095,0.34081,0.35355,0.29622,0.14161,1.72372,3.32677,2.21493,1.91229,0,0.000410357,0.000410357,0.000410357
43,2583.14,1.2903,2.7195,1.6604,1.43391,0,0.41527,0.31798,0.31274,0.1749,0.44081,0.31375,0.29999,0.13743,1.76919,3.38137,2.31362,1.90604,0,0.000400048,0.000400048,0.000400048
44,2642.22,1.27662,2.71272,1.65935,1.42897,0,0.47203,0.29204,0.30308,0.15778,0.45465,0.30162,0.29137,0.13164,1.80042,3.29994,2.26118,1.9501,0,0.00038974,0.00038974,0.00038974
45,2701.39,1.28735,2.71989,1.63997,1.43149,0,0.42652,0.32526,0.31399,0.17138,0.41109,0.32321,0.29784,0.13851,1.76095,3.29812,2.22492,1.91969,0,0.000379431,0.000379431,0.000379431
46,2760.91,1.28456,2.67036,1.60099,1.42387,0,0.42655,0.31823,0.31762,0.1747,0.43868,0.31238,0.30295,0.13757,1.76141,3.33057,2.22763,1.94828,0,0.000369123,0.000369123,0.000369123
47,2819.28,1.26893,2.66386,1.57739,1.41184,0,0.40462,0.33102,0.32365,0.18228,0.39548,0.33712,0.30844,0.14566,1.74841,3.33572,2.18123,1.90151,0,0.000358815,0.000358815,0.000358815
48,2878.18,1.24737,2.65029,1.56849,1.3971,0,0.4088,0.34138,0.30991,0.17709,0.42118,0.32179,0.30485,0.1488,1.7515,3.34186,2.21158,1.92182,0,0.000348506,0.000348506,0.000348506
49,2936.83,1.25442,2.66807,1.5786,1.41681,0,0.41439,0.37707,0.34231,0.18776,0.42333,0.34982,0.33207,0.15766,1.77193,3.34463,2.18711,1.95317,0,0.000338198,0.000338198,0.000338198
50,2994.63,1.24345,2.63225,1.51911,1.39593,0,0.40685,0.32111,0.31954,0.17737,0.41143,0.3198,0.30269,0.1425,1.75542,3.31005,2.20661,1.94615,0,0.00032789,0.00032789,0.00032789
51,3053.74,1.2476,2.62013,1.5268,1.39498,0,0.43889,0.33066,0.3109,0.17274,0.42967,0.32315,0.30549,0.14374,1.7671,3.32323,2.21449,1.93888,0,0.000317581,0.000317581,0.000317581
52,3113.53,1.21556,2.601,1.46624,1.37439,0,0.41453,0.34229,0.32958,0.18343,0.41883,0.33413,0.31945,0.15577,1.76494,3.34825,2.21235,1.95351,0,0.000307273,0.000307273,0.000307273
53,3171.73,1.21465,2.57396,1.47168,1.37557,0,0.45038,0.33079,0.33261,0.18614,0.4252,0.34201,0.32217,0.15729,1.75177,3.35808,2.21453,1.93089,0,0.000296964,0.000296964,0.000296964
54,3228.84,1.22082,2.59969,1.4703,1.37111,0,0.43775,0.35018,0.34355,0.19126,0.42645,0.34595,0.33072,0.15676,1.72759,3.30966,2.20837,1.91634,0,0.000286656,0.000286656,0.000286656
55,3286.89,1.19555,2.56425,1.43644,1.3582,0,0.39994,0.33459,0.3135,0.17208,0.40415,0.33861,0.31043,0.14765,1.78237,3.3565,2.30845,1.95652,0,0.000276348,0.000276348,0.000276348
56,3346.85,1.19346,2.533,1.41921,1.35083,0,0.41567,0.35322,0.31807,0.17915,0.46516,0.3213,0.32173,0.14955,1.75563,3.35836,2.17654,1.9206,0,0.000266039,0.000266039,0.000266039
57,3404.22,1.20001,2.56218,1.43326,1.36284,0,0.38668,0.33339,0.30123,0.17469,0.40768,0.34919,0.30514,0.14652,1.73479,3.31549,2.15756,1.90069,0,0.000255731,0.000255731,0.000255731
58,3460.85,1.18221,2.5005,1.39497,1.34733,0,0.39415,0.36537,0.31588,0.17994,0.38272,0.3526,0.30383,0.14989,1.74872,3.33074,2.23207,1.9093,0,0.000245423,0.000245423,0.000245423
59,3518.12,1.17546,2.50696,1.36383,1.34463,0,0.41474,0.34169,0.32425,0.18453,0.44455,0.3307,0.31858,0.15453,1.72912,3.34209,2.17631,1.90812,0,0.000235114,0.000235114,0.000235114
60,3577.03,1.16365,2.50251,1.38082,1.33842,0,0.4196,0.32091,0.31847,0.18603,0.43697,0.32523,0.31262,0.1525,1.75053,3.35312,2.18856,1.90984,0,0.000224806,0.000224806,0.000224806
